game_id,team_id,HoA,won,settled_in,goals,shots,hits,pim,powerPlayOpportunities,powerPlayGoals,faceOffWinPercentage,giveaways,takeaways,blocked,startRinkSide
2001020714,22,home,True,REG,3.0,26.0,,10.0,4.0,1.0,,,,,right
2001020727,28,home,False,REG,1.0,23.0,,18.0,7.0,0.0,,,,,right
2001020748,12,home,False,OT,2.0,31.0,,6.0,5.0,0.0,,,,,left
2001020753,21,away,True,REG,4.0,25.0,,14.0,3.0,0.0,,,,,right
2001020754,30,away,False,OT,2.0,29.0,,8.0,4.0,0.0,,,,,right
2001020758,11,home,True,REG,4.0,23.0,,14.0,5.0,1.0,,,,,
2001020765,19,away,False,REG,1.0,26.0,,26.0,5.0,0.0,,,,,left
2001020773,11,away,False,OT,2.0,35.0,,14.0,5.0,1.0,,,,,right
2001020792,10,home,True,REG,4.0,33.0,,26.0,7.0,1.0,,,,,left
2001020801,19,away,True,REG,4.0,28.0,,18.0,5.0,1.0,,,,,left
2001020834,22,away,False,REG,1.0,28.0,,25.0,6.0,1.0,,,,,right
2001020838,29,away,True,REG,3.0,25.0,,18.0,3.0,0.0,,,,,left
2001020899,12,away,True,REG,6.0,31.0,,33.0,13.0,1.0,,,,,right
2001020905,22,home,False,REG,2.0,24.0,,10.0,3.0,1.0,,,,,right
2001020911,7,away,False,OT,3.0,28.0,,10.0,6.0,2.0,,,,,left
2001020915,3,home,True,REG,6.0,28.0,,58.0,7.0,2.0,,,,,left
2001020983,16,away,False,REG,1.0,11.0,,9.0,3.0,0.0,,,,,left
2001020986,15,home,False,REG,2.0,27.0,,6.0,4.0,0.0,,,,,left
2001020999,22,away,True,REG,4.0,18.0,,4.0,4.0,0.0,,,,,right
2001021014,4,home,False,REG,1.0,37.0,,4.0,4.0,0.0,,,,,left
2001021072,7,away,True,OT,3.0,26.0,,13.0,5.0,1.0,,,,,right
2001021078,26,away,False,REG,0.0,25.0,,30.0,5.0,0.0,,,,,
2001021089,22,home,True,REG,3.0,28.0,,20.0,3.0,0.0,,,,,right
2001021119,18,home,False,REG,2.0,24.0,,10.0,3.0,1.0,,,,,right
2001021141,14,away,False,REG,1.0,20.0,,11.0,6.0,0.0,,,,,left
2001021142,12,home,False,REG,2.0,26.0,,4.0,3.0,1.0,,,,,left
2001021175,16,home,True,REG,3.0,33.0,,12.0,7.0,0.0,,,,,left
2001021177,27,away,False,REG,3.0,30.0,,15.0,4.0,0.0,,,,,left
2001021181,5,away,False,REG,2.0,28.0,,18.0,3.0,1.0,,,,,left
2002020006,16,away,False,REG,1.0,32.0,0.0,19.0,7.0,1.0,,0.0,0.0,0.0,right
2002020045,23,home,False,REG,3.0,26.0,2.0,10.0,3.0,1.0,,0.0,0.0,0.0,left
2002020057,22,away,False,REG,3.0,25.0,1.0,8.0,7.0,2.0,,0.0,0.0,0.0,right
2002020071,20,away,True,REG,5.0,25.0,1.0,4.0,2.0,1.0,,0.0,0.0,0.0,left
2002020072,22,home,False,REG,3.0,34.0,3.0,14.0,7.0,1.0,,0.0,0.0,0.0,right
2002020087,22,away,False,OT,3.0,27.0,4.0,15.0,6.0,1.0,,0.0,0.0,0.0,left
2002020090,14,away,False,OT,2.0,27.0,0.0,16.0,6.0,1.0,,0.0,0.0,0.0,right
2002020132,1,home,False,REG,1.0,35.0,2.0,6.0,5.0,0.0,,0.0,0.0,0.0,right
2002020140,12,home,True,REG,4.0,24.0,3.0,14.0,10.0,3.0,,0.0,0.0,0.0,left
2002020147,28,away,False,OT,1.0,20.0,3.0,16.0,3.0,0.0,,0.0,0.0,0.0,left
2002020170,16,home,False,REG,1.0,25.0,3.0,9.0,2.0,0.0,,0.0,0.0,0.0,left
2002020182,28,home,True,REG,5.0,32.0,2.0,15.0,6.0,1.0,,0.0,0.0,0.0,right
2002020237,29,home,False,REG,2.0,28.0,1.0,6.0,4.0,1.0,,0.0,0.0,0.0,right
2002020250,19,away,False,REG,0.0,29.0,4.0,14.0,5.0,0.0,,0.0,0.0,0.0,right
2002020250,22,home,True,REG,5.0,25.0,2.0,12.0,6.0,2.0,,0.0,0.0,0.0,right
2002020251,17,away,True,REG,2.0,32.0,2.0,8.0,2.0,0.0,,0.0,0.0,0.0,left
2002020255,5,home,False,REG,2.0,35.0,2.0,26.0,5.0,2.0,,0.0,0.0,0.0,right
2002020383,20,home,False,OT,1.0,20.0,14.0,29.0,2.0,0.0,,0.0,0.0,0.0,left
2002020390,24,away,True,REG,4.0,26.0,2.0,4.0,5.0,1.0,,0.0,0.0,0.0,left
2002020396,15,away,False,REG,3.0,25.0,0.0,10.0,2.0,0.0,,0.0,0.0,0.0,right
2002020411,23,home,False,REG,1.0,30.0,2.0,34.0,5.0,0.0,,0.0,0.0,0.0,left
2002020412,8,away,True,REG,4.0,27.0,1.0,15.0,2.0,1.0,,0.0,0.0,0.0,right
2002020415,10,home,True,REG,4.0,23.0,1.0,10.0,4.0,1.0,,0.0,0.0,0.0,left
2002020426,6,home,False,REG,2.0,31.0,0.0,6.0,4.0,1.0,,0.0,0.0,0.0,right
2002020429,14,away,True,REG,3.0,34.0,4.0,12.0,5.0,1.0,,0.0,0.0,0.0,left
2002020434,16,away,False,OT,1.0,27.0,0.0,12.0,5.0,0.0,,0.0,0.0,0.0,right
2002020441,9,home,True,OT,4.0,29.0,0.0,8.0,4.0,1.0,,0.0,0.0,0.0,right
2002020463,18,home,False,REG,0.0,23.0,1.0,6.0,6.0,0.0,,0.0,0.0,0.0,right
2002020483,21,home,True,REG,2.0,29.0,10.0,6.0,2.0,0.0,,0.0,0.0,0.0,left
2002020503,6,home,True,REG,5.0,38.0,1.0,14.0,5.0,2.0,,0.0,0.0,0.0,right
2002020506,1,away,False,OT,2.0,42.0,1.0,10.0,4.0,0.0,,0.0,0.0,0.0,left
2002020541,24,away,False,REG,3.0,25.0,3.0,12.0,4.0,2.0,,0.0,0.0,0.0,left
2002020559,9,away,True,REG,6.0,30.0,0.0,10.0,3.0,1.0,,0.0,0.0,0.0,right
2002020571,14,away,False,REG,1.0,26.0,4.0,12.0,5.0,1.0,,0.0,0.0,0.0,left
2002020589,14,away,False,REG,1.0,27.0,4.0,11.0,6.0,0.0,,0.0,0.0,0.0,right
2002020590,18,home,False,OT,3.0,35.0,1.0,4.0,3.0,0.0,,0.0,0.0,0.0,right
2002020621,10,away,True,REG,4.0,22.0,1.0,28.0,2.0,0.0,,0.0,0.0,0.0,right
2002020622,16,away,False,OT,3.0,24.0,0.0,8.0,3.0,0.0,,0.0,0.0,0.0,left
2002020645,12,home,False,OT,2.0,32.0,5.0,29.0,3.0,0.0,,0.0,0.0,0.0,left
2002020645,21,away,True,OT,3.0,33.0,1.0,13.0,6.0,1.0,,0.0,0.0,0.0,left
2002020662,3,away,True,OT,2.0,36.0,1.0,8.0,2.0,0.0,,0.0,0.0,0.0,left
2002020667,6,away,False,REG,0.0,27.0,20.0,6.0,2.0,0.0,,0.0,0.0,0.0,left
2002020673,21,home,False,REG,2.0,38.0,10.0,8.0,3.0,0.0,,0.0,0.0,0.0,left
2002020725,10,away,False,REG,0.0,27.0,1.0,24.0,5.0,0.0,,0.0,0.0,0.0,right
2002020734,16,away,False,REG,3.0,26.0,2.0,8.0,3.0,0.0,,0.0,0.0,0.0,right
2002020738,29,home,True,REG,4.0,26.0,8.0,9.0,4.0,3.0,,0.0,0.0,0.0,right
2002020741,18,home,True,REG,3.0,21.0,4.0,8.0,5.0,0.0,,0.0,0.0,0.0,right
2002020793,22,home,True,REG,2.0,24.0,3.0,10.0,5.0,0.0,,0.0,0.0,0.0,right
2002020814,11,away,False,REG,1.0,25.0,3.0,12.0,6.0,0.0,,0.0,0.0,0.0,right
2002020815,7,away,False,REG,1.0,29.0,1.0,13.0,4.0,1.0,,0.0,0.0,0.0,right
2002020820,16,away,True,REG,3.0,33.0,1.0,16.0,2.0,0.0,,0.0,0.0,0.0,right
2002020833,18,home,False,REG,2.0,38.0,10.0,13.0,5.0,0.0,,15.0,6.0,5.0,right
2002020848,2,away,False,REG,0.0,36.0,12.0,21.0,7.0,0.0,,12.0,2.0,9.0,right
2002020855,27,away,True,REG,3.0,27.0,11.0,25.0,4.0,1.0,,8.0,3.0,11.0,left
2002020865,5,away,True,REG,4.0,17.0,4.0,17.0,5.0,1.0,,4.0,7.0,22.0,right
2002020873,11,home,True,OT,4.0,30.0,13.0,15.0,8.0,3.0,,11.0,6.0,16.0,
2002020889,11,away,False,REG,0.0,27.0,11.0,2.0,3.0,0.0,,12.0,5.0,5.0,right
2002020891,30,home,False,REG,2.0,29.0,8.0,2.0,6.0,2.0,,13.0,5.0,6.0,left
2002020899,5,home,False,REG,2.0,28.0,13.0,6.0,3.0,0.0,,6.0,2.0,7.0,right
2002020902,16,home,False,REG,1.0,26.0,9.0,4.0,3.0,0.0,,6.0,2.0,11.0,left
2002020948,30,away,True,REG,6.0,45.0,9.0,14.0,7.0,1.0,,28.0,5.0,15.0,left
2002020979,3,home,False,OT,1.0,35.0,19.0,6.0,5.0,1.0,,18.0,9.0,15.0,left
2002020998,5,home,False,REG,0.0,21.0,16.0,76.0,3.0,0.0,,6.0,2.0,13.0,right
2002021010,18,away,True,REG,2.0,19.0,12.0,6.0,3.0,1.0,,23.0,8.0,11.0,left
2002021011,24,home,False,REG,1.0,28.0,14.0,9.0,4.0,0.0,,10.0,11.0,2.0,right
2002021019,27,home,True,REG,6.0,31.0,20.0,21.0,5.0,1.0,,7.0,6.0,7.0,
2002021058,16,away,True,REG,4.0,29.0,16.0,26.0,5.0,3.0,,7.0,3.0,19.0,
2002021073,13,away,True,REG,4.0,29.0,11.0,14.0,4.0,1.0,,3.0,2.0,9.0,right
2002021110,17,away,True,REG,4.0,22.0,18.0,19.0,4.0,1.0,,19.0,4.0,12.0,right
2002021137,30,away,False,REG,0.0,18.0,12.0,14.0,3.0,0.0,,5.0,5.0,16.0,left
2002021151,21,home,True,REG,3.0,22.0,11.0,18.0,1.0,0.0,,13.0,9.0,5.0,left
2002021166,15,away,False,OT,3.0,31.0,30.0,21.0,3.0,1.0,,16.0,2.0,3.0,left
2002021176,24,home,True,REG,3.0,24.0,2.0,10.0,3.0,0.0,,9.0,12.0,6.0,right
2002021188,2,home,False,OT,2.0,30.0,32.0,12.0,5.0,1.0,,9.0,23.0,12.0,right
2002021220,20,away,True,REG,4.0,36.0,19.0,56.0,10.0,2.0,,11.0,4.0,11.0,right
2003020028,23,home,True,REG,3.0,22.0,12.0,47.0,8.0,0.0,,4.0,14.0,9.0,left
2003020029,26,away,True,REG,4.0,26.0,12.0,14.0,5.0,1.0,,6.0,2.0,4.0,left
2003020033,7,home,True,REG,4.0,21.0,9.0,28.0,4.0,1.0,,11.0,3.0,14.0,right
2003020036,15,away,False,OT,2.0,18.0,29.0,18.0,4.0,2.0,,2.0,4.0,17.0,left
2003020041,6,away,True,REG,2.0,13.0,23.0,12.0,4.0,0.0,,25.0,16.0,15.0,left
2003020059,1,home,False,REG,2.0,31.0,8.0,13.0,3.0,1.0,,11.0,2.0,7.0,right
2003020073,3,home,True,REG,3.0,28.0,19.0,62.0,4.0,0.0,,7.0,6.0,9.0,left
2003020094,27,home,False,REG,4.0,33.0,19.0,25.0,9.0,2.0,,3.0,0.0,10.0,
2003020099,25,away,False,REG,0.0,22.0,16.0,2.0,3.0,0.0,,11.0,4.0,9.0,left
2003020151,8,home,False,REG,1.0,35.0,12.0,12.0,8.0,1.0,,15.0,7.0,14.0,left
2003020158,29,away,False,REG,0.0,15.0,25.0,20.0,5.0,0.0,,10.0,6.0,16.0,left
2003020198,2,home,False,REG,3.0,30.0,22.0,10.0,6.0,0.0,,9.0,4.0,7.0,right
2003020215,4,home,True,REG,2.0,33.0,5.0,14.0,1.0,0.0,,21.0,5.0,12.0,left
2003020216,11,home,False,REG,3.0,25.0,19.0,14.0,2.0,0.0,,16.0,6.0,13.0,
2003020228,12,home,True,REG,5.0,33.0,6.0,12.0,9.0,3.0,,6.0,7.0,17.0,left
2003020250,25,away,False,REG,0.0,29.0,13.0,18.0,4.0,0.0,,7.0,9.0,12.0,left
2003020306,18,away,True,REG,3.0,23.0,13.0,10.0,4.0,2.0,,3.0,13.0,13.0,left
2003020326,18,away,True,REG,2.0,29.0,8.0,8.0,7.0,1.0,,5.0,1.0,15.0,right
2003020386,17,away,False,REG,2.0,31.0,23.0,0.0,2.0,0.0,,15.0,5.0,6.0,left
2003020411,1,home,True,OT,1.0,35.0,6.0,2.0,2.0,0.0,,23.0,10.0,12.0,right
2003020421,17,away,False,OT,3.0,33.0,12.0,10.0,2.0,0.0,,0.0,5.0,6.0,left
2003020440,13,away,False,OT,2.0,28.0,9.0,10.0,4.0,0.0,,8.0,7.0,19.0,right
2003020444,25,away,False,OT,1.0,32.0,15.0,15.0,6.0,0.0,,4.0,3.0,9.0,left
2003020452,8,home,False,OT,1.0,29.0,9.0,22.0,7.0,0.0,,20.0,16.0,7.0,left
2003020459,17,home,True,OT,3.0,29.0,16.0,10.0,5.0,1.0,,16.0,6.0,9.0,left
2003020461,30,away,True,REG,3.0,28.0,6.0,21.0,2.0,1.0,,6.0,10.0,18.0,left
2003020468,3,home,True,REG,4.0,30.0,20.0,6.0,6.0,2.0,,5.0,7.0,17.0,left
2003020483,25,away,True,REG,2.0,22.0,8.0,14.0,3.0,1.0,,12.0,9.0,14.0,right
2003020505,29,home,False,REG,1.0,28.0,12.0,4.0,5.0,0.0,,2.0,3.0,10.0,right
2003020507,18,away,False,OT,3.0,22.0,10.0,6.0,4.0,1.0,,15.0,5.0,13.0,left
2003020515,12,away,False,REG,1.0,31.0,28.0,13.0,2.0,0.0,,7.0,2.0,13.0,right
2003020538,14,home,False,REG,0.0,31.0,16.0,6.0,7.0,0.0,,13.0,9.0,12.0,right
2003020555,17,home,True,OT,6.0,44.0,17.0,13.0,4.0,1.0,,17.0,4.0,9.0,left
